target,global src apec.norm,global src TBabs.nH,global src gaussian.norm,global src gaussian_7.norm,1 bkg powerlaw.PhoIndex,2 bkg powerlaw.PhoIndex,3 bkg powerlaw.PhoIndex
hs007801_s,0.09874183412184 -1,0.0573072970137 -1,0.02732834885189789 -1,0.0024247460320694367 -1,0.7612162462349398 -1,0.7266714310109289 -1,0.7377780789085546 -1
hs007901_s,0.194219243666 -1,0.0283056647602 -1,0.03510465805253074 -1,0.003163527822697559 -1,0.8313076189159292 -1,0.7897287510246416 -1,0.815078751376652 -1
hs008101_s,0.077370387366132 -1,0.057845374003300004 -1,0.029304043559768674 -1,0.0016933358977533324 -1,0.8848192367601246 -1,0.8244170413011696 -1,0.8278731696428572 -1
hs008201_s,0.3848021329908 -1,0.0122323285134 -1,0.023882772966574255 -1,0.0020139960398429958 -1,0.8468789244186047 -1,0.8175337152777777 -1,0.8165762412383177 -1
hs008301_s,0.22794834475252 -1,0.0163034719886 -1,0.02615383186536835 -1,0.0019947764084716877 -1,0.7978129510309279 -1,0.7576779631877022 -1,0.7724018888449367 -1
hs008401_s,0.17943330793892 -1,0.024338607372 -1,0.029282431369732666 -1,0.004444178860620859 -1,0.8598120505992011 -1,0.8375781040158661 -1,0.8293050140542328 -1
hs008501_s,0.08159075102724 -1,0.041478807644699994 -1,0.034825 -1,0.0019950000000000002 -1,0.9249902027027027 -1,0.8582854748603351 -1,0.8800422660614525 -1
hs008601_s,0.12455447482744 -1,0.0307787698176 -1,0.02723550228040915 -1,0.002149825316231495 -1,0.8047623046875 -1,0.7465946802745664 -1,0.7601742386685553 -1
hs008901_s,0.2506655503212 -1,0.015161394291099998 -1,0.022015461312411635 -1,0.0012948314435419035 -1,0.8382036872384937 -1,0.8037464979550102 -1,0.8214091517857143 -1
hs009101_s,0.082914382460308 -1,0.0381478443314 -1,0.029412821107011076 -1,0.0018332581549815497 -1,0.904299063876652 -1,0.8855153764204545 -1,0.8876031808035714 -1
hs009201_s,0.46476038808892 -1,0.0195758076731 -1,0.032776459647126464 -1,0.0027619513495640464 -1,0.8909540578358209 -1,0.8697245901921028 -1,0.8676650456101652 -1
hs009301_s,0.37926464958984 -1,0.0164020562295 -1,0.030020902638282013 -1,0.0030146271407566943 -1,0.7969090960665659 -1,0.7629046918645251 -1,0.783418523222061 -1
hs009401_s,0.17251167716188 -1,0.0169797497721 -1,0.027751677493512997 -1,0.0018795342559293489 -1,0.8474700688073394 -1,0.8041033962673612 -1,0.8033727594339622 -1
hs009501_s,0.10630811049404 -1,0.0404131583828 -1,0.02813684161586941 -1,0.0019154421944415747 -1,0.8985642857142857 -1,0.8616389099604221 -1,0.8746733599869452 -1
hs009601_s,0.13209983917536 -1,0.022631339943499997 -1,0.026822853178999247 -1,0.0016944907182125958 -1,0.8722804435483871 -1,0.854009375 -1,0.868439025297619 -1
hs009701_s,0.13494122716816 -1,0.061927819574900005 -1,0.023857230812008284 -1,0.0017160047770555468 -1,0.9085851272352132 -1,0.892196156999852 -1,0.9042680665405777 -1
hs009801_s,0.256418548764 -1,0.017813976872899998 -1,0.026087904074756016 -1,0.0018092886057687557 -1,0.7413694474248927 -1,0.6722512098524306 -1,0.6829866466998192 -1
hs009901_s,0.3691229280704 -1,0.0140256571342 -1,0.026043497133690346 -1,0.0016171729694024395 -1,0.8547486742424243 -1,0.8153119537275064 -1,0.8164368303571428 -1
hs010101_s,0.11824091723976 -1,0.0520525370625 -1,0.03297 -1,0.00266 -1,0.928885996835443 -1,0.8917454056291391 -1,0.9111880573248408 -1
hs010301_s,0.123197866344 -1,0.024607432566300002 -1,0.02739767633494513 -1,0.0015987074482748346 -1,0.8691398333333333 -1,0.8507738960597826 -1,0.8527428838315217 -1
hs010401_s,0.4971187416538 -1,0.0222735575149 -1,0.034140991834647444 -1,0.0023220590973644646 -1,0.7485556042435424 -1,0.7013082268197574 -1,0.7098464339500861 -1
hs010501_s,0.303516802379 -1,0.0159045646589 -1,0.02435644938846444 -1,0.002086216217988655 -1,0.8902779436383929 -1,0.8684654663355409 -1,0.877123455864402 -1
hs010701_s,0.41374306813 -1,0.016950049287299998 -1,0.02589780794741304 -1,0.0016282087317319334 -1,0.8696030153508773 -1,0.8360952460106382 -1,0.8451162722717149 -1
hs010801_s,0.20098424484236 -1,0.0900337027503 -1,0.02796417947314707 -1,0.0019700031800499933 -1,0.8277930216165413 -1,0.7617126024590164 -1,0.7766417942880794 -1
hs010901_s,0.32764605521312 -1,0.022730141698 -1,0.030606539003534043 -1,0.0021687517245958733 -1,0.8597683843085107 -1,0.8398711476982097 -1,0.8418102941176471 -1
hs011001_s,0.20540791583956 -1,0.0289725183166 -1,0.027160000000000004 -1,0.00133 -1,0.8579433988764045 -1,0.8493364697802198 -1,0.845769406077348 -1
hs011601_s,0.40256470155328 -1,0.018076498937299998 -1,0.029774676003713557 -1,0.0023459879651199222 -1,0.8960268911439115 -1,0.8777362205615942 -1,0.8819894000431624 -1
hs011701_s,0.29134520489816 -1,0.06547621913479999 -1,0.035070000000000004 -1,0.0024150000000000005 -1,0.9143421875000001 -1,0.8733382102272726 -1,0.8870676730225989 -1
